delta,noise,Ds_mean,Ds_sd,success_mean
0.05,0.1,1.661576477019668,0.00407431720066117,0.5
0.05,0.2,1.6644955381504154,0.002722123984733607,0.5
0.05,0.3,1.6741078633962954,0.004274214313725359,0.5
0.05,0.4,1.6852406302376952,0.003840761135833454,0.5
0.1,0.1,1.6572248401143912,0.0012408451854289927,0.5
0.1,0.2,1.6627448554996547,0.002399496661915975,0.5
0.1,0.3,1.6712263226814563,0.005685520974877323,0.5
0.1,0.4,1.6829896775883253,0.0046933467631765724,0.5
0.15,0.1,1.6531891500548443,0.00647925756623391,0.7259999999999998
0.15,0.2,1.6580481875847544,0.00227436636922213,0.5
0.15,0.3,1.670900708281719,0.004442967382801554,0.5
0.15,0.4,1.6802847314606482,0.004842934541520566,0.5
0.2,0.1,1.6485534361579286,0.010200950426270656,0.951
0.2,0.2,1.6530549869782072,0.006132604200830904,0.5
0.2,0.3,1.663450877116576,0.004425764803507833,0.5
0.2,0.4,1.674667293415333,0.004063873947008729,0.5
0.25,0.1,1.6346338358663306,0.005307350378174877,0.7260000000000001
0.25,0.2,1.6458026401082555,0.0061308141411930825,0.5
0.25,0.3,1.6583886624734128,0.0022813624844776367,0.5
0.25,0.4,1.6722344402213807,0.002579841163674154,0.5
0.3,0.1,1.6208131800788528,0.004441502453253651,0.5
0.3,0.2,1.6389987200991847,0.004465180024024815,0.5
0.3,0.3,1.6535438733250463,0.007321973749170266,0.5
0.3,0.4,1.6668387641133968,0.010395918168927442,0.5
0.4,0.1,1.5952600986798218,0.0108317300771914,0.5
0.4,0.2,1.6133939176826615,0.0043867804426887475,0.5
0.4,0.3,1.6317743522686619,0.004523919368026933,0.5
0.4,0.4,1.6466310843414997,0.007607663469596188,0.5
0.5,0.1,1.5498295991881874,0.004963958634658473,0.5
0.5,0.2,1.5691055835624415,0.006080725653363716,0.5
0.5,0.3,1.5909108182848037,0.004629695753413965,0.5
0.5,0.4,1.6219153405253384,0.00527518169962495,0.5
