method,domain,trial,success,Ds_final,Ds_peak_rate,failure_mode
DSF,Fruit,0,1,1.617287601693138,1.135591072341913,
DSF,Fruit,1,0,1.546278435681304,1.0459819141886444,F1
DSF,Fruit,2,1,1.6007852171976018,1.3322263646417207,
DSF,Fruit,3,1,1.593468384394908,0.9537577337705462,
DSF,Fruit,4,1,1.651158216999425,0.8374469814902268,
DSF,Fruit,5,1,1.6652109242793334,0.4657822658301368,
DSF,Fruit,6,1,1.6650990169728834,0.9214846369939367,
DSF,Fruit,7,1,1.5472026428172483,0.9326168139914675,
DSF,Fruit,8,1,1.6516480425172129,0.8911477628889303,
DSF,Fruit,9,1,1.6112856423090696,1.108990981093729,
DSF,Fruit,10,1,1.7356847679920353,0.8808775996098678,
DSF,Fruit,11,1,1.6201024982747296,0.7220984384959972,
DSF,Fruit,12,1,1.6824539759458057,0.6366891327048887,
DSF,Fruit,13,1,1.6807863559837106,0.49510699015877857,
DSF,Fruit,14,1,1.592066162181863,1.0118958318825049,
DSF,Fruit,15,1,1.6036920082869823,0.9634850288436456,
DSF,Fruit,16,1,1.6423474618086813,0.6033645894169495,
DSF,Fruit,17,0,1.580376150343385,1.1262754837485918,F2
DSF,Fruit,18,1,1.6195740342327354,0.9872384548550824,
DSF,Fruit,19,1,1.650589410397751,1.1342820467205297,
DSF,Fruit,20,1,1.6098754529022488,0.8789960495670095,
DSF,Fruit,21,1,1.6402835333867782,1.3024001032936956,
DSF,Fruit,22,1,1.6578131585968798,0.9477265329593769,
DSF,Fruit,23,1,1.6308902873075017,1.1059292074727767,
DSF,Fruit,24,1,1.5639839087139045,1.3517245433877767,
DSF,Fruit,25,1,1.6697373362718633,0.5077206965387837,
DSF,Fruit,26,1,1.6438978834812572,1.0483231087438394,
DSF,Fruit,27,1,1.635276056341619,1.1796767780272095,
DSF,Fruit,28,1,1.6509891078771826,0.761956251388257,
DSF,Fruit,29,1,1.6093880039435688,0.8506273084710549,
DSF,Medical,0,1,1.5733478656547712,0.9202053034871936,
DSF,Medical,1,1,1.576197631627117,0.7501867284502023,
DSF,Medical,2,1,1.5982188631958687,0.8734680132613074,
DSF,Medical,3,1,1.6091249811092234,0.9675120222697485,
DSF,Medical,4,1,1.6393095073217996,1.0500685968357668,
DSF,Medical,5,1,1.6145747023729935,1.0469843159511838,
DSF,Medical,6,1,1.63887870720113,1.0010492555598005,
DSF,Medical,7,1,1.632121932321642,1.0610737933850662,
DSF,Medical,8,0,1.595937249903985,1.0374456335757112,F1
DSF,Medical,9,0,1.6638963527041786,1.3779441190506654,F2
DSF,Medical,10,1,1.5440293664925149,1.5619929638933086,
DSF,Medical,11,1,1.6815520372677695,0.6723574416384172,
DSF,Medical,12,1,1.6186962324777154,1.1655421622473154,
DSF,Medical,13,1,1.5632822362205867,1.2835342702089134,
DSF,Medical,14,1,1.5468759830238135,0.995655601846294,
DSF,Medical,15,1,1.6249133508609463,1.2573959118446114,
DSF,Medical,16,1,1.6819849583500626,0.7405431055667423,
DSF,Medical,17,1,1.5479968407119018,0.7413220983439022,
DSF,Medical,18,1,1.6501945844117603,1.050931133996313,
DSF,Medical,19,1,1.617106433049624,0.8939532873508039,
DSF,Medical,20,1,1.58553886199501,0.7023798191188713,
DSF,Medical,21,1,1.7062359349830611,1.0812343437378655,
DSF,Medical,22,1,1.6252945021732894,0.9398863532948607,
DSF,Medical,23,1,1.6056742082123385,1.0088014288625204,
DSF,Medical,24,1,1.5489793996100718,0.5076043364192047,
DSF,Medical,25,1,1.5769148663951282,1.3374608313126926,
DSF,Medical,26,1,1.6729659588807455,0.6749288532015728,
DSF,Medical,27,1,1.5309232848312726,0.9016740520839481,
DSF,Medical,28,1,1.6613653039152128,1.3861529984232053,
DSF,Medical,29,1,1.645300494785855,1.1573548488945105,
DSF,Warehouse,0,1,1.5844803587979919,1.3637887766303178,
DSF,Warehouse,1,0,1.5774686975062238,1.181738158256045,F1
DSF,Warehouse,2,1,1.6894625790260762,1.1125331201236295,
DSF,Warehouse,3,1,1.6078612753635877,1.2720875020996247,
DSF,Warehouse,4,0,1.663065226735822,0.9677212396690856,F2
DSF,Warehouse,5,1,1.6059187303522098,1.0084345721215873,
DSF,Warehouse,6,1,1.6580648549256158,1.0943942475796533,
DSF,Warehouse,7,1,1.6155768979993632,1.0092668396101974,
DSF,Warehouse,8,0,1.6528042539238992,1.2070028265575976,F1
DSF,Warehouse,9,0,1.5751229825413968,0.8652333669206009,F3
DSF,Warehouse,10,1,1.5962434129024965,0.5512134790711694,
DSF,Warehouse,11,1,1.5329322688732194,0.6459094989004843,
DSF,Warehouse,12,1,1.5933363126052302,0.9445704520745584,
DSF,Warehouse,13,1,1.6391708388693742,1.3919599901562747,
DSF,Warehouse,14,1,1.5987315433706129,1.0717405010229466,
DSF,Warehouse,15,1,1.6236200788770565,1.1093361544500364,
DSF,Warehouse,16,1,1.6277062179452497,0.9179510289125545,
DSF,Warehouse,17,1,1.6208116061620226,1.1328696309008226,
DSF,Warehouse,18,1,1.614127919310235,1.2342867006634097,
DSF,Warehouse,19,1,1.5752655947194696,1.45079600845583,
DSF,Warehouse,20,1,1.5761898030124117,0.5310592733813767,
DSF,Warehouse,21,0,1.6398781322928653,1.5160674009898814,F1
DSF,Warehouse,22,1,1.5806236370207438,0.7034378011943568,
DSF,Warehouse,23,1,1.6163928867374673,0.8885314873104277,
DSF,Warehouse,24,1,1.5022713701823336,0.9036079953318061,
DSF,Warehouse,25,1,1.6403895058864917,0.5654156301073817,
DSF,Warehouse,26,1,1.6063248212637455,1.2318409939405819,
DSF,Warehouse,27,0,1.5630804002576415,0.870207574576707,F1
DSF,Warehouse,28,1,1.6492893776071216,1.2162562758452546,
DSF,Warehouse,29,1,1.5937994512472071,1.2142430875044776,
DSF,Prosthetic,0,1,1.5040331531284938,1.012073955625077,
DSF,Prosthetic,1,1,1.6487449070205713,0.9252431993911935,
DSF,Prosthetic,2,1,1.7085449954930412,1.0414428961485873,
DSF,Prosthetic,3,1,1.6410970990978835,0.9624379691311217,
DSF,Prosthetic,4,1,1.6412167382295861,0.958401028615711,
DSF,Prosthetic,5,1,1.6561507949018752,1.5088352191288554,
DSF,Prosthetic,6,1,1.6351028704762955,0.9343518039526794,
DSF,Prosthetic,7,1,1.6105817869541206,0.838800677446798,
DSF,Prosthetic,8,1,1.6441317487952145,0.9068023895788464,
DSF,Prosthetic,9,1,1.6002091860886198,1.1414659501986453,
DSF,Prosthetic,10,1,1.6097362246759432,0.6907616901662179,
DSF,Prosthetic,11,1,1.6421963997810018,1.2787630775139434,
DSF,Prosthetic,12,1,1.6718152962724386,1.2043528586119137,
DSF,Prosthetic,13,1,1.663963486359747,0.844621046187438,
DSF,Prosthetic,14,1,1.661925499480071,1.4758451953707827,
DSF,Prosthetic,15,0,1.6072477014630822,1.015492746805414,F2
DSF,Prosthetic,16,1,1.5433013330314882,1.1957662325191603,
DSF,Prosthetic,17,1,1.6100998114841858,0.5730167796780212,
DSF,Prosthetic,18,1,1.625374877760365,0.5716236819809108,
DSF,Prosthetic,19,1,1.5722204293330455,0.6937669244337341,
DSF,Prosthetic,20,1,1.677280283855566,1.1166578131539915,
DSF,Prosthetic,21,1,1.6148916551519314,0.6274976891967627,
DSF,Prosthetic,22,1,1.581345787057428,1.2540543736907748,
DSF,Prosthetic,23,1,1.5666887507821181,1.2834813458934922,
DSF,Prosthetic,24,1,1.6674911584460057,1.0413262360109428,
DSF,Prosthetic,25,0,1.6366055304196396,1.1343904003744976,F1
DSF,Prosthetic,26,1,1.5864282748542595,1.3003981901392114,
